Description,ASIN,Product_Description,Manufacturer
Care Instructions: Wipe with Damp ClothFit Type: regularHandcrafted with care and made up of premium quality robust material,ASIN : B0B9T4YDPX,,Manufacturer : Acefour Accessories Pvt. Ltd.
Care Instructions: Wipe with Damp ClothFit Type: regularHandcrafted with care and made up of premium quality recycled materialTrolley sleeve to securely place the bags on the trolley bag; Quilted and Foam Padded DesignSpacious Main compartment with a wet pouch for toiletries insideSeparate Padded laptop compartment fits up to 15 inch Laptop; comfortable padded shoulder strap; Back padding with Air meshGRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596),ASIN : B0BNVXG27V,,Manufacturer : Acefour Accessories Pvt. Ltd.
"Care Instructions: Hand Wash OnlyCOMPATIBLE WITH 15.6 INCH LAPTOP”: The Northzone Backpack fits up to 15.6 inch laptop. Dimensions: 34cm x 15cm x 45.5cm; Weight: 499gHIGH QUALITY, DURABLE AND WATER REPELLANT FABRIC”: This backpack features in durable snow yarn polyester fabric and streamlined design with a padded interior to protect notebooks and important itemsCONVENIENT TRAVEL"" Adjustable shoulder strap and padded laptop compartment together with a quilted back panel make it comfortable for all-day useCONVENIENTLY PLACED PADDED LAPTOP COMPARTMENTS AND POCKETS: The padded interior helps protect notebooks and important items. Quick access zippered front pocket for added storage. A quilted back panel make it comfortable for all-day use.HIGH QUALITY, CASUAL YET STYLISH DESIGN"": very attractive and perfect for school, travel and outdoor activities. The perfect backpack for those needing stylish all-day protection for their laptop.",ASIN : B0BL3SPN16,"If you carry your laptop to and from work, then this laptop bag from Northzone will definitely make travelling easier. Compatibility This backpack can fit a 38.1 cm laptop comfortably. Compartments This bag has three spacious compartments to store the laptop, charger, external devices, and other accessories with ease. Pockets The two mesh pockets on either sides of this black and blue backpack allow you to store a water bottle, ID card and other knick-knacks, so you can access them easily.",Manufacturer : Northzone
"Convenient for clean-up and garbage disposalMultifunctional use; ideal for office, hotels, household use, parties, baby diapers, and clearing pet's litterDetachable tie-tape to tie up bag after useDimensions - 43 cms x 48 cms; Size: SmallOxo-Biodegradable Garbage Bags for your home and kitchenPackage Contents - 6 Rolls of Oxo-Biodegradable Garbage Bags; Quantity: 30 per roll; Colour: Black",Item model number : PrestoOBD-S30bagsPO6,"Presto! Offers Oxo-Biodegradable Garbage Bags To Help You Maintain Cleanliness And Hygiene In Your House, Office And Surroundings. These Garbage Bags Make Clean-Up And Garbage Disposal A Hassle-Free Task While Being Easy On The Environment! Line Them Up In Your Bedroom Or Bathroom Dustbins Or Use Them To Segregate Dry And Wet Waste In The Kitchen. Effectively Clear Out Messy Trash Like Baby Diapers And Kitty Litter! Handy At Offices Or Hotels, TheyRe Useful For Getting Rid Of Leftover Party Plates And Garbage As Well. They Come With A Detachable Tie-Tape Which Lets You Neatly Tie Up The Bag, Making It Easier To Carry Out After Use. These Small-Sized Bags Easily Fit Any Small Dustbins. They Are Available In Black Colour In A Pack Of 6 Rolls, And Each Roll Contains 30 Bags For Your Convenience.",ASIN : B0821PKWBW
"This heating pad can be used for around 120 minutes after only 5 to 10 minutes of electric charging, depending on the ambient temperature. solid points easy to use and transport portable rechargeable heating pad low electricity usageThis Electric heating pad is effective for treating sports injuries, arthritis, stiff necks, backaches, muscle pains, cramps, hypothermia, sprains, and developing pains. They operate without the need for water refill.An electric hot gel pouch is filled with a special gel and then sealed. It is normally used to offer warmth while in bed, but it can also be used to apply heat to a particular area of the body. It is a top-notch pain reliever for cold weather situations. provide pain relief and makes you feel at ease.You can use it at low temperatures to massage parts of your body or keep it within the quilt to heat the quilt.This heating bag is made of double-thick, flexible PVC and high-grade velvet fabric, which is touch soft and durable in usage.",ASIN : B0CJJKSXW1,"Depending on the temperature outside, this heating pad can be utilized for 120 minutes after only 5 to 10 minutes of electric charging. strong points portable heating pad with a rechargeable battery that is simple to use and carrySports injuries, arthritis, stiff necks, backaches, muscle pains, cramps, hypothermia, sprains, and growing pains can all be successfully treated with this electric heating pad. They function without the need to refill the water.It can be kept inside the blanket to heat the quilt or used at low temperatures to massage different sections of your body.The high-grade velvet fabric and double-thick, flexible PVC used to make this heating bag are both touch-soft and long-lasting.",Manufacturer : Ingens Tradecom Pvt Ltd
Care Instructions: Wipe with Damp ClothMaterial: Water Resistant Light-Weight Polyester<br>Compartments: 2 with padding; Laptop Size: 15.6 inch and below<br>Dimensions: LxWxH - 12.5 x 7.5 x 19 inches<br>Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders<br>Closure Type: Zipper<br>,ASIN : B09TPY1G1W,,Manufacturer : ADISA
"Fit Type: regularMaterial: High Density Nylon Water Resistant Fabric. Size: 48 x 32 x 18 cm. Volume: 32 litre.Anti-theft backpack: This backpack has anti theft design where zipper of the main pocket is hidden at the back. No thief, intruder or robber can find a way to open the laptop, making this totally theft proof. There are secret pockets on the shoulder strap and on the sides of the bag allowing us to keep travel documents, boarding pass, credit cards, mobile phone, earphones etcMultipurpose laptop compartment for daily office use, college or travel etc. 180 degrees opening. Have enough space for carrying books or one day cloth. Front stash pocket for small book, documents, goggle, medicines etcCharging on the go: now charge your phone on the go while travelling without the hassle of holding the bulky power bank in your pocket or in your hand. Simple connect your power bank to the wire inside the bag and leave it in the bag. When you want to charge your phone, just connect your phone charger to the bag and your phone will start charging. Note: We do not provide power bank with this bagSuitable for 15.6 inch laptop, tablet, power bank, mobiles etc. 12 months warranty.",Manufacturer : Durant International,,Date First Available : 12 January 2021
"Outer Material: Nylon, Color: Black. Body Type : Soft Body;Water resistantCapacity: 23 liters; Weight: 1200 grams; Dimensions: 44 cms x 17 cms x 31 cms (LxWxH)Number of Wheels: 2; Laptop Compatibility: Yes, Laptop Size: 15 InchWarranty type: Manufacturer; 2 years warranty for manufacturing defect onlyAge Range Description: Adult; Pocket Description: Slip Pocket; Lining Description: Polyester; Strap Type: Adjustable; Closure Type: Zipper; Special Features: Laptop Compartment",ASIN : B0BHJ9WMZK,,"Manufacturer : SWISS MILITARY CONSUMER GOODS LIMITED; W-39, OKHLA INDUSTRIAL AREA PHASE-2, NEW DELHI - 110020"
"Care Instructions: Wipe with Damp ClothFit Type: regularHandcrafted with care and made up of premium quality robust material. 3x more water resistant material with rainproof zippers and 2.5x more padded shoulder strapsAnti-Theft design, Padded laptop compartment that can fit upto 15.6"" laptop along with a tablet sleeveTrolley sleeve at the back to secure your luggage, compression straps for the weekend packingGRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty",ASIN : B0C7CQ1MVD,,Manufacturer : Acefour Accessories Pvt. Ltd.
Curated specially for Bag with High Functionality. Premium Design crafted with Trendy LookSeparate Sturdy Padded compartment for your Laptop. Spacious 35L capacity with 46 x 22 x 36 cmhigh quality YKK ZipAir mesh for ventilationLight weight Bag with padded shoulder strap for ease,ASIN : B0C9GRNX8R,,Manufacturer : STRABO BAGS AND ACCESSORIES LLP
"Care Instructions: Wipe with Dry ClothUnique Diamond Cut ABS Hard-shell Design. Accommodates Upto 15.6"" Laptop.Kissing Zip Pullers for Locking Mechanism. Separate Compartment for IPad / Notebook.Velcro Flap to Prevent 180° Opening. Elasticated File / Documents Holder. 180° Opening for Packing / Unpacking Ease. Separate Mesh Zipper Pocket for Accessories.Spacious Garments / Files Pocket for Overnight Travel. Miscellaneous Storage pockets for organizing ease.Premium Padded Back Mesh Panel for Extra Comfort. Adjustable Shoulder Strap for Comfort Fit. Comfort Grip Carrying Handle.",ASIN : B0C3MG4MJG,Swiss Military Hard Shell Travel BackpackMeasurement:-,"Manufacturer : Swiss Military Consumer Goods Limited, W-39, Okhla Industrial Area, Delhi , Delhi - 110020"
"PREMIUM MATERIAL: This multifunctional bag is made of quality Water Repellent polyester material in black color to protect your goods from water. For the inner lining, soft feel premium polyester is used. The hardware such as strengthened hooks, zippers and buckles used are wear resistant, smooth, and durable. <br>LARGE CAPACITY : Comes with 2 compartments with one separate cushioned laptop sleeve to hold 15. 6 inch Laptop. Additional front zipper pockets with an organiser to store magazine, pens, key,music, cosmetic, pen, charger, powerbank, cable etc. Side pockets for water bottles,umbrella. Back hidden anti theft pocket can hold your wallet,phone,etc <br>TROLLEY STRAP & CONVENIENCE : The insertible pull rod box design allows the bag to slide over the luggage handle for easy mobility during traveling. Comfortable airflow back ergonomics design with soft padding, gives you maximum back support. Breathable and adjustable shoulder straps relieve the stress of shoulder. Foam padded top handle for a long time carry on. <br>ONE YEAR WARRANTY: 1-year warranty on this bag against any manufacturing defects. Just keep your documents safe. Contact Red Lemon for any issues regarding the product and a resolution will be provided.; Lining texture: polyester <br>Water Resistance Level: Waterproof; Special Features: Laptop Compartment; Age Range Description: Adult; Pattern Name: Solid; Material Type: Nylon; Pocket Description: Utility Pocket <br>",Item model number : 1921,"Red Lemon Swiss Cut Design 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls",ASIN : B09RK4BRPM
"Care Instructions: Hand Wash OnlyFit Type: regular? PREMIUM MATERIAL: Made from high quality, waterproof hard EVA material. Premium quality smooth zippers, pullers, buckles.;Special Features: Locking; Style Name: Modern<br>? ORGANISED DESIGN: This backpack has one roomy spaced compartment with built in soft padded sleeve to protect laptops upto 16 inch. Separate sleeve for tablet/ Ipad. Spacious enough to hold your clothings, folders, documents etc. Also includes organised pockets to hold electronic diary, power bank, pens. mobile etc. Soft handle for better comfort. Adjustable and padded shoulder straps make it comfortable during use.<br>? ANTI- THEFT DESIGN & CAPACITY: One hidden zipper pocket equips on the back to pack your money, cards, wallet. This invisible design increases the security of your belongings. Dimensions: 30 cms x 8 cms x 45 cms (LxWxH). Capacity: 11 Lit<br>? USB FEATURE & TSA LOCK : External USB port with built-in charging cable enables convenient charging by connecting your power bank with your electronic devices. This backpack comes with a built-in TSA lock that gives the bag an added level of security. Helps deter thefts during travel.; ? TROLLEY STRAP : The insertible pull rod box design allows the bag to slide over the luggage handle for easy mobility during traveling.; Age Range Description: Adult; Pattern Name: Solid; Theme: Sports<br>Impact-resistant design. ID pouch, Mobile phone pouch. Zipper hidden pouch, Laptop slot, and Tablet slot. USB Charging slot on the outside. Shape-retaining construction. Water-resistant fabric. Premium leather zipper pulls. Top carry handle with leather grip. Air mesh back padding. Adjustable padded shoulder straps with metallic buckle and leather accents.<br>",ASIN : B09ZYMT7V1,,Manufacturer : Encon Impex Pvt Ltd
Meets most domestic carry-on size requirements,ASIN : B0BTHP5LS1,Transport your travel essentials effortlessly and stylishly. This extremely lightweight and durable features 100 percentage polyester construction with sharp molded details.,Manufacturer : Lanway
"Care Instructions: Hand Wash OnlyFit Type: overallEase of Access-Multi purpose pockets Super sorted stuff It has a vibrant and stylish design, along with the added benefit of spacious interiors.Integrated Fast charging port-Unique pre-fitted USB port helps you to easily connect your phone or any other device with your power bank. Charging system for smart devices , with free USB (power bank not included )Care Instructions: Wipe with Dry ClothSuperior & Durability: Made of durable and Eco-friendly water resistant oxford textile fabric,which keeps your files and stuffs dry inside. This backpack can hold up to 15.6"" laptop from most brands, but it may not be suitable for all brand 15.6"". Since there maybe exist slight size difference among different laptop brands.PREMIUM MATERIAL: Made from high quality, Premium quality smooth zippers, pullers, buckles.",Item model number : W-12,,ASIN : B0CCLKZ21R
"Care Instructions: NoFit Type: regular<p>【Material】 Made by high quality Canvas, super sturdy, soft and water-washable. Can be the essential everyday tote bag. Feels softer, skin-friendly when your hand touch it.<p>【Canvas Shoulder Bag Dimension】 Korean canvas tote size is L 13.4*W 4.7*H 11.8 inch. And canvas bags size is L 14.9*W 4.4*H 12.6 inch. The space of this tote bag is big enough for all of your daily stuffs. You can easily carry your kindle, laptop, ipad, cellphone, binder, book, magazine, passport, keys, wallet/purse, pencil, charger, card, A4 papers, water bottle, makeup and sunglasses inside and so on.<p>【Canvas Purse Structure】 Have 1 main compartment and 2 internal open slot pockets. Strengthen the stitching so that the straps and bags are more firmly connected. On the top closure of the bag are 2 snap fasteners and 1 magnetic buckle. Comfortable and elegant in opening and closing of this bag.<p>【Occasions】 Canvas Handbag are suitable for office, business/quick grocery/bookstore trips, dating, weekend, gift, birthday, anniversary, graduation, college, school, beach, diaper bag, travel bag and more. . It is lightweight and very convenient to carry all your everyday items.<p>【Eco-Friendly Life】 - : Replace your paper and plastic bags with these natural cotton reusable bags. Develop the habit of living an environmentally friendly life. Protect the Earth, start with our tote bag.",ASIN : B0BQCBHJLP,"Description:Corduroy Shoulder Bag cater to the latest trends, unlike other materials. The outer layer is corduroy fabric, inner layer is polyester, Both of them are high quality. Makes you look not only fashionable, but also very casual, you can match any clothes. Comfortable to carry, never go out of style..Specification:- Material: Cotton
- Bag Size: approx. L 13.4*W 4.7*H 11.8 inch.Package Includes:1 Piece Women Handbag ToteNote:1. Please allow a slight color difference between the real item and the pictures due to the difference between monitors.
2. Please allow a slight measurement error.
Hope for your kind understanding and have a nice shopping day!",Manufacturer : Street27
"Care Instructions: Hand Wash OnlyFit Type: regularCOMFORT WITH QUALITY: This casual Bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Barracks on every pressure point for extra durability. Made with strong yet light weight polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all boys, girls, men and women.Dimension:33 cms x25 cmsx 46 cms (LxWxh),47 liters; Number of Compartments:4 Laptop Compatibility: Up to 16 Inches Material:Polyester:Water Resistance Level:WaterproofPREMIUM FABRIC : Polyester, Closure Type: Zipper, Gender: Unisex Size: 46 cm X 33 cm X 20cm.; BACK SUPPORT: Air Mash foam padding to prevent sweating when you use the bag & to help you lift heavy objects easily. OTHER FEATURES: Laptop Compartment (can carry laptops of size 15.6 & 17 inches), Reflective Strip makes it very useful for Bike Riders at Night. Age Range Description: Adult; Pattern Name: Self Design; Pocket Description: Utility Pocket; Water Resistance Level: Waterproof47 Ltrs, 46 cms School Bag Class 5-12 Large 5 partition Laptop Collage Office Travel Backpack UnisexSCHOOL BAG FOR BOYS GIRLS CLASS 5-12",ASIN : B0BRTFGG22,"A Sporty Versatile School Laptop Collage Office Backpack From ROZEN Made Of Polyester. It Has a 3 opening Compartment & 2 For quick & easy access to essential While the mesh padding on the back panel will feel comfortable, even on a hot day. Stylish And Durable Backpack For Office School /College And Travel. Easily Accommodate A Laptop. Size: 46 Cm X 33 Cm X 25 Cm.",Manufacturer : ROZEN
"Care Instructions: Wipe with Damp ClothFit Type: regularHandcrafted with care and made up of premium quality robust materialPadded anti-theft laptop compartment fits up to 15.6"" Laptop and a tablet compartment; Zipper Pocket in front along with a slip In Pocket in front; Internal Organisers with a bottle holder on the sideWrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Comfortable Padded shoulder strapsGRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty",ASIN : B0C1CBY2PJ,,Manufacturer : Acefour Accessories Pvt. Ltd.
"Care Instructions: Wipe with Dry ClothSPACIOUS AND LIGHTWEIGHT: 30L CAPACITY Light weight & spacious 3 Compartment with laptop sleeves fits upto 16 Inch laptop, Multi Pockets to keep your essentials. Organizer pockets as per needs. . It has provision for holding bottles on both sides and has padded shoulder straps for your comfort.Made with strong yet light weight polyester fabric with heavy zippersERGONOMIC DESIGN: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body. Stitched properly and Bartacks on every pressure point for extra durability1 YEAR WARRANTY: The Impulse Travel backpack comes with 1 year of warrantyWATER RESISTANT MATERIAL: The Material ensures resistance to water entering from any direction.MADE IN INDIA – Impulse Travel Backpack is fully manufactured in India and pass through stringent quality tests and checks",Item model number : Parkar Black,"Impulse Backpack are made to give you comfort and durability, It is light in weight one backpack for all your needs",ASIN : B0C1H2PRCF
Care Instructions: Hand Wash OnlyFit Type: regularStyle Name:-BackpackModel Name:-Gym Bag IND IIBrand Color:-Fig-CASTLEROCKDimensions:-40 x 20 x 20 cmMaterial:-Polyester,ASIN : B089T98TKG,,Manufacturer : Puma
"Material: PolyesterClosure :ZipLightweight: Our products are strive to be lightweight to minimize the overall weight and strain of carrying them, particularly during travel.Durability: Our products are designed to be durable and long-lasting, able to withstand the rigors of everyday use or the demands of travel without easily succumbing to wear and tear.Easy Maintenance: Ourproducts are easy to clean and maintain, with materials that are resistant to stains or can be easily wiped clean.",ASIN : B07F342RQD,"VIP Industries Limited is a renowned brand specializing in the manufacturing of quality bags for a wide range of purposes. With a rich history and extensive expertise in the industry, VIP Industries has established itself as a trusted provider of bags for numerous renowned brands. From travel luggage to stylish backpacks, business cases to trendy handbags, VIP Industries offers a diverse portfolio of products that cater to the diverse needs and preferences of its customers.",Manufacturer : SKYBAGS
"COMPATIBILITY: Our Office Bag is an ideal laptop bag, handbag or a Professional Bag for Women. It can fit a laptop of upto 15.6 inches and is perfect for Macbook, Chromebook, iPad, Tablet, Hp, Lenovo, Dell etc. Dimensions: 16 x 13 x 4 inchCOMPONENTS: On the Inside there is a padded Laptop Sleeve with Velcro, a larger compartment for books, tiffin, chargers. Also there are 2 small pockets for a Wallet, Pen and Keys. The Bag has a Zip Closure and Double Straps for carrying comfortably.MATERIAL: Made of Fine Indian Print Fabric. The Leather used is 100% PeTA approved Vegan Leather, making it a cruelty-free and a responsible product. All products are handmade, with a running fabric and hence the exact print on the product might slightly differ from the photos.DISCLAIMER: It is recommended that you regularly clean your bag with a wet cloth. Do note that the colour of the materials might slightly vary due to photographic lighting sources or your display settings.ABOUT US: Zouk is a Proudly Indian and 100% PeTA approved Vegan brand. Our Laptop Bag stands for Style and Function, with an Essence of India. Couple of our bags were featured in the popular Netflix series Little Things 3. All our bags are handcrafted by expert artisans in our own manufacturing facility.",ASIN : B09QRYDXJH,,Manufacturer : Sea Turtle Pvt Ltd
"Multifunctional use; ideal for office, hotels, household useDetachable tie-tape to tie up bag after usePackage Contents - 3 Rolls of Oxo-Biodegradable Garbage Bags; Quantity: 30 per roll; Colour: GreenOxo-Biodegradable Garbage Bags for your home and kitchenDimensions - 48 cms x 53 cms; Size: MediumDimensions - 48 cms x 53 cms; Size: Medium",ASIN : B08TD6BN7Y,"Presto! offers Oxo-Biodegradable Garbage Bags to help you maintain cleanliness and hygiene in your house, office and surroundings. These garbage bags make clean-up and garbage disposal a hassle-free task while being easy on the environment! Line them up in your bedroom or bathroom dustbins or use them to segregate wet waste in the kitchen. Handy at offices or hotels, they’re useful for getting rid of leftover party plates and garbage as well. They come with a detachable tie-tape which lets you neatly tie up the bag, making it easier to carry out after use. These medium-sized bags easily fit any normal dustbins. They are available in green colour in a pack of 3 rolls, and each roll contains 30 bags for your convenience.",Manufacturer : Presto!
"Care Instructions: Hand Wash OnlyStylish & Versatile: A fashionable backpack suitable for both men and women, perfect for modern-day commuters. Designed to accommodate laptops up to 15.6 inches in its padded laptop sleeve, it also offers a roomy 26-liter capacity for travel.Durable & Water-Resistant: Crafted from premium-quality fabric, this backpack features water-resistant materials that shield your valuables from moisture. The two zipper pockets are equipped with high-quality YKK zippers for smooth, jam-free operation.Comfort & Functionality: Designed for extended use, this compact backpack features a breathable mesh-padded back panel and mesh-padded shoulder straps for ultimate comfort. It includes a dedicated laptop compartment and an organizer to keep essentials like keys, mobile phones, and pens easily accessible.Padded Laptop Sleeve: The backpack's main compartment boasts a dedicated padded laptop sleeve, ensuring your gadget's safety during travel. This feature makes it an excellent choice for both women and men on the move. Additionally, a side water bottle compartment enhances its functionality, making it versatile for school, the office, or everyday outings.2-Year Manufacturer Warranty: Backed by a 2-year manufacturer warranty, this travel backpack showcases its commitment to premium quality and functionality. Beyond its stylish appearance, it serves as a reliable companion for all your travel adventures.",ASIN : B0CJF25SK3,"Discover the ultimate in comfort and convenience with the CARRIZ Laptop Backpack! This sleek and compact design caters to both men and women, whether you're a student, a professional, or a daily commuter. Crafted from high-quality materials, this 26 L backpack offers outstanding durability and water resistance. Experience unmatched comfort even during extended journeys, thanks to the breathable mesh-padded back panel. The main compartment features a padded sleeve designed to securely accommodate laptops up to 15.6 inches. Additionally, our laptop backpack boasts two zippered pockets, providing ample room for your mobile phone, power bank, and other essentials. Our backpack also boasts an adjustable shoulder strap with a comfortable mesh-padded design. Equipped with premium YKK zippers and buckles, you can trust in smooth, reliable functionality that won't let you down. Stay organized on the go with a built-in organizer for your keys, pens, and small items, ensuring your essentials are always within reach. With convenient side compartments for your water bottle, this 26 liter backpack is perfect for any daily activity, whether it's the office, college, school, or casual outings. For your peace of mind, we offer a generous 2 year manufacturer warranty, so you can trust in the quality and reliability of the CARRIZ Travel Backpack. It's not just a bag; it's your loyal travel companion, always ready to accompany you on your journeys! Invest in the perfect backpack that meets the demands of the modern traveler.",Manufacturer : TRAWOC Gears
"Care Instructions: Hand Wash OnlyFit Type: regularThe front and side zipper compartments of the backpack make it simple to store items like tablets, diaries, pens, pencils, smartphones, cards, change and other small items. The backpack's side pockets make it easy to carry along tiny goods like mini umbrellas and water bottles.MADE IN INDIA - This ""MAKE IN INDIA"" laptop bag for men has 2 front zip pockets, 2 side bottle pockets, and 1 huge zipped section. For men, women, boys, and girls, this bag works great for the office, school, and college. In fact, it's the ideal all-purpose backpack for men, school bags for girls and boys, college bags for girls and boys and workplace bags for unisexLAPTOP BACKPACK SPECIFICATIONS - Men's NEXA Laptop Backpack; Compartment Size: Up to 15.6 Inches. 30 litres is the capacity. 15 x 11.5 x 3 inches in size.NEXA padded laptop backpack with internal organiser and sleeve that can handle up to 15.6"" laptops. Compatible laptops include those made by HP, Lenovo, Acer, ASUS, and Dell. Your keys, cords, office supplies, and other valuables can be neatly organised inside the organiser to avoid theft.The Tabelito Casual Backpack is entirely produced in India and goes through strict quality inspections and tests. Water Resistant Material: The material has an advanced IPX4 coating that prevents water from penetrating from any angle.The backpack features a 30L capacity and a padded laptop pocket that fits a 15.6 inch laptop. Additional necessities that can fit within are a lunchbox, charger, tablet, books, power bank, wallet, and sunglasses.",ASIN : B0C2D4KWQ6,"Decent BACKPACK: The Tabelito Backpack / Daypack is made of HIGH QUALITY Anti Scratch Fabric with a sturdy zipper design, making it incredibly sturdy, tear-resistant, and capable of protecting your items from dust, rain, and filth. Even more robust and long-lasting are the strong buckle and zipper. LARGE CAPACITY & MULTI COMPARTMENTS & LIGHT WEIGHT: The backpack has three compartments. There is ample storage for clothes, books, a lunchbox, daily needs, and tech equipment accessories in the separate laptop compartment that fits a 15.6-inch laptop as well as a 15-inch, 14-inch, and 13-inch or Mac book. The middle compartment has enough capacity for a laptop charger, an iPad, a tablet, a smartphone, a document file, and other necessary accessories. There are two small elastic mesh side pockets for water bottles and a front compartment with zipper pockets for easy access items like a mask, wallet, metro card, and wallet. Make your goods more accessible and organised. HIGH QUALITY MATERIAL: The metal zippers on our backpack are made of high-quality, water-resistant Polyester fabric. Lightweight and strong build guarantee daily use that is safe and durable. Perfect for shopping, office work, business travel, weekend trips, and other outdoor activities. It is also the ideal backpack for teens, boys, girls, adults, and other genders.",Manufacturer : Tabelito Trade India
Care Instructions: Wipe with Dry ClothErgonomic Design : Spacious with Multiple Compartments & Pockets : Intuitive Access : Optimized Back Panel with Premium Cushioning with Airflow Mechanism : Padded & Adjustable Shoulder Straps : Padded Base : Lightweight : Bar-Tacked Load Points : Water Resistant Fabric : Heavy Duty Long Lasting Zippers : Padded Sleeve Fits Up To 15.6″ Laptop & Tab : Elasticated Trolley Sleeve on Back Panel : Concealed Anti-theft Pocket,ASIN : B0CJ97TXPN,Each Gear Bag is born in our in-house design & prototyping studio & characterises a recognisable aesthetic & functionality.,Manufacturer : Gear Merchandise Pvt Ltd
"✅ Laptop Overnighter with Separate 15.6"" Screen Laptop Compartment. ✅ 4 Ergonomic 360° Rotatable Wheels✅ Laptop Roller Case, Inner Shell One Side Zipper Compartment And Other Side Elastic Compartment Separator. Single Handle On Top✅ Rubberised Feet. Unique 3D Design. More Durable -Polyester Material Stronger And Light WeightPremium silicon zip pullers.adjustable plastic buckles.",ASIN : B0BTDNKMFT,"Swiss Military Black Textured Soft-Sided Overnighter Trolley Bag And Backpack cum Sling BagProduct 1:-Product 2:-Measurement:Product 1:- L:44 x W:19 x H:38 cm Approx.
Product 2:- 41 x 29 x 12 cm (Approx.)","Manufacturer : SWISS MILITARY CONSUMER GOODS LIMITED, W-39, OKHLA INDUSTRIAL AREADelhi , DELHI - 110020"
"ERGONOMIC DESIGN: This ergonomic bag features zippered security pockets in the front, back and main compartment. The front pockets can be used to hold personal items like identification cards, keys and more while the extra pocket located in the back can be used for the storage of sleek items like mobile devices. The main storage pocket also has enough room to hold your gadgets, small water bottle cables, chargers etc. This bag can fit tablets and devices with screen sizes of up to 10.5.<br>WATER, DIRT & SLASH RESISTANT: This cross body bag by Dein Kleider is ideal for people who are adventurous and always on the go. Its padded storage is resistant to water, dirt and even a slash by sharp objects, so you dont have to worry about anything. This bag is durable and heavy duty, ensuring that your gadgets and valuables are safely stored.<br>CRAFTED IN INDIA: Dein Kleider cross body sling is crafted with perfection by professional Indian artisans in an elegant style that makes your presence truly class apart. Its an ideal companion for a comfortable all day carry to school/college, malls, morning walk, office and meetings. It can also be easily used as travel accessory for a train or bus journey.<br>Outer Material Type: Nylon",Item part number : DK01CSP-HYP,"Spacious and convenient, ideal for use as Messenger Bag.perfect product from DEIN KLEIDER for storing in your Objects to take with you for extra storage.",ASIN : B084ZHP97M
"“COMPATIBLE WITH 15.6 INCH LAPTOP”: This organizer briefcase dimension fits up to 15.6 inch laptop. Dimensions: 40cm x 5.5cm x 30cm; Weight: 435g.“HIGH QUALITY, DURABLE AND WATER REPELLANT FABRIC”: This toploader features in durable snow yarn polyester fabric and streamlined design with a padded interior to protect notebooks and important items“INTEGRATED LUGGAGE STRAP FOR MORE CONVENIENT TRAVEL”:A fully adjustable shoulder straps make it comfortable for all-day use.“CONVENIENTLY PLACED PADDED LAPTOP COMPARTMENTS AND POCKETS: The padded interior helps protect notebooks and important items. Quick-access pocket ensure convenient access""HIGH QUALITY, CASUAL YET STYLISH DESIGN"": very attractive and perfect for college, school, travel and outdoor activities, daily commuters and all types of travelers who just looking for compact but stylish bag. Multiple colors for choiceWarranty NA“IN-THE-BOX”: 15.6-inch BriefcaseCountry of Origin: China",Product Dimensions : 24.89 x 2.03 x 36.07 cm; 340.19 Grams,,Language : English
"Care Instructions: Hand Wash OnlyFit Type: regularFashionable, light-weight, soft and colorful, a perfect gift for your kids 3D character embossed front makes it even more fun to carry aroundMade of polyester fabric with coated backing and inner lining, making it tough, durable and waterproofThere are three compartment which stores the kid's toys, snacks and other stuffs,and a small zippered pocket on the outsideThe shoulder straps are padded and adjustable, making them cosy for little shoulders ideal for kids of nursery, kindergarten, play-school, junior levels can also be used as picnic and travel bag; Weight: 450 grams; Dimensions: 30 cms x 18 cms x 40 cms (LxWxH)Style Name: Travel Backpacks; Compartment Description: Not Laptop Compatible",ASIN : B0BNL2PBPH,,Manufacturer : muskaan creation
"Care Instructions: Hand Wash OnlyOuter Material: Art Leather, Color: BrownCapacity: 22 liters; Weight: 740 grams; Dimensions: 31 cms x 16 cms x 48 cms (LxWxH)Number of compartments: 2Laptop Compatibility: Yes, Laptop Size: Upto 16 Inches; Strap Type: AdjustableWarranty Type: 1 Year Manufacturer Warranty",ASIN : B085QWJVCZ,F Gear 22 Ltrs Burner Art Lthr Brown Laptop Backpack (3343),Manufacturer : Uber Fashion Merchandise Pvt. Ltd.
